month_name,scale_name,reported_r,month,scale,point_major_all_r,point_major_test_r,abs_error_all,abs_error_test
June,SPI-6,0.867,6,6,0.8478166473489411,0.5342347204972667,0.01918335265105886,0.33276527950273327
July,SPI-6,0.899,7,6,0.883204084453061,0.5114155466912956,0.015795915546939043,0.3875844533087044
August,SPI-6,0.911,8,6,0.9298405476382539,0.7538328956699021,0.018840547638253824,0.15716710433009795
September,SPI-6,0.868,9,6,0.9215611154046535,0.9486649141049228,0.05356111540465347,0.08066491410492282
October,SPI-6,0.891,10,6,0.9427556346964832,0.9315738948984421,0.051755634696483144,0.0405738948984421
November,SPI-6,0.904,11,6,0.927604931667159,0.6187937937718095,0.023604931667158935,0.2852062062281905
December,SPI-6,0.901,12,6,0.9122645677750358,0.3275140827934835,0.011264567775035816,0.5734859172065165
January,SPI-9,0.448,1,9,0.8851331184403568,0.5169891207313883,0.4371331184403568,0.06898912073138824
February,SPI-9,0.028,2,9,0.9346617704302367,0.8417200828469213,0.9066617704302367,0.8137200828469213
March,SPI-9,0.784,3,9,0.94243562281793,0.8972747852611985,0.15843562281793,0.1132747852611985
April,SPI-9,0.744,4,9,0.9340787705940414,0.8173717938595504,0.19007877059404144,0.0733717938595504
May,SPI-9,0.823,5,9,0.9454796721700564,0.7539421377367231,0.1224796721700564,0.06905786226327681
June,SPI-9,0.459,6,9,0.9490254196449331,0.7985290761439829,0.4900254196449331,0.3395290761439829
July,SPI-9,0.542,7,9,0.966192018141951,0.928845615599431,0.42419201814195096,0.386845615599431
August,SPI-9,-0.014,8,9,0.9177982431373478,0.8217033919660951,0.9317982431373478,0.8357033919660951
September,SPI-9,0.527,9,9,0.8761214679475781,0.6593646439136374,0.34912146794757803,0.13236464391363734
October,SPI-9,0.734,10,9,0.8927517604829343,0.9020872035518459,0.15875176048293427,0.16808720355184592
November,SPI-9,0.822,11,9,0.9604802244650674,0.6590909673217749,0.13848022446506747,0.1629090326782251
December,SPI-9,0.581,12,9,0.8501731224843238,0.5430728829006264,0.2691731224843238,0.037927117099373575
January,SPI-12,0.932,1,12,0.899755116009227,0.7866364576818912,0.03224488399077308,0.14536354231810888
February,SPI-12,0.891,2,12,0.9381055595046525,0.8084704580304571,0.04710555950465245,0.08252954196954287
March,SPI-12,0.94,3,12,0.9571738698922251,0.893594744681681,0.017173869892225135,0.04640525531831896
April,SPI-12,0.925,4,12,0.9442389323612516,0.7144797896209122,0.019238932361251515,0.21052021037908786
May,SPI-12,0.91,5,12,0.9530423148385869,0.76650361362277,0.04304231483858689,0.14349638637723006
June,SPI-12,0.906,6,12,0.957304184588922,0.7974992288551581,0.05130418458892194,0.10850077114484191
July,SPI-12,0.885,7,12,0.9482341171510019,0.7444467637461538,0.06323411715100191,0.1405532362538462
August,SPI-12,0.895,8,12,0.9516105543172053,0.7669354570006383,0.0566105543172053,0.12806454299936176
September,SPI-12,0.928,9,12,0.9679473584967931,0.8652137378334432,0.039947358496793095,0.0627862621665568
October,SPI-12,0.919,10,12,0.9554360578321262,0.9550895458836237,0.03643605783212611,0.036089545883623675
November,SPI-12,0.911,11,12,0.8056993186046505,-0.052246636100208195,0.10530068139534954,0.9632466361002082
December,SPI-12,0.915,12,12,0.825155537634429,0.4209836490454599,0.08984446236557109,0.49401635095454016
January,SPI-18,0.899,1,18,0.9582071935191329,0.9190322261940805,0.05920719351913284,0.020032226194080516
February,SPI-18,0.927,2,18,0.9388122221304391,0.796501998055131,0.011812222130439087,0.13049800194486905
March,SPI-18,0.884,3,18,0.9584033129703843,0.7915443303276127,0.07440331297038427,0.09245566967238728
April,SPI-18,0.831,4,18,0.9415711595745744,0.7157975502796434,0.11057115957457442,0.11520244972035654
May,SPI-18,0.823,5,18,0.8919867311456996,0.19677682883852793,0.06898673114569964,0.6262231711614721
June,SPI-18,0.94,6,18,0.8549289806571073,0.13523303152316926,0.08507101934289263,0.8047669684768307
July,SPI-18,0.882,7,18,0.9276673515891789,0.5982253579472114,0.045667351589178895,0.2837746420527886
August,SPI-18,0.888,8,18,0.935199294833393,0.7263194489360203,0.047199294833393024,0.16168055106397972
September,SPI-18,0.957,9,18,0.9441926508668731,0.927456935622003,0.012807349133126866,0.02954306437799692
October,SPI-18,0.921,10,18,0.9280910218891865,0.8500795022299544,0.007091021889186422,0.07092049777004561
November,SPI-18,0.946,11,18,0.8976535980167264,0.6495096654291982,0.04834640198327356,0.29649033457080176
December,SPI-18,0.914,12,18,0.8952913117658894,0.660065241315379,0.01870868823411065,0.253934758684621
January,SPI-24,0.95,1,24,0.9732818436375071,0.9141862835343625,0.023281843637507182,0.03581371646563747
February,SPI-24,0.982,2,24,0.9783353087018402,0.8305044873604713,0.003664691298159828,0.15149551263952865
March,SPI-24,0.948,3,24,0.9806839106845867,0.875666513855914,0.03268391068458676,0.07233348614408597
April,SPI-24,0.929,4,24,0.9823103135987818,0.8591893702094527,0.0533103135987818,0.06981062979054731
May,SPI-24,0.933,5,24,0.9837963800051364,0.868777300511629,0.05079638000513631,0.064222699488371
June,SPI-24,0.931,6,24,0.9851649834237662,0.8613763788841377,0.05416498342376619,0.0696236211158624
July,SPI-24,0.939,7,24,0.9858538709520304,0.8766003998984868,0.04685387095203042,0.06239960010151313
August,SPI-24,0.926,8,24,0.989982441882685,0.9454827709466559,0.06398244188268498,0.019482770946655847
September,SPI-24,0.939,9,24,0.9874067433797616,0.9418648144058721,0.048406743379761696,0.0028648144058721625
October,SPI-24,0.936,10,24,0.9796010084067415,0.9496976790135995,0.043601008406741415,0.013697679013599418
November,SPI-24,0.904,11,24,0.9400269264710708,0.7991436559824633,0.03602692647107075,0.10485634401753674
December,SPI-24,0.982,12,24,0.9405930678093917,0.9021906200922983,0.041406932190608314,0.07980937990770165
January,SPI-48,0.971,1,48,0.9812904109161115,0.9024978737211029,0.010290410916111492,0.06850212627889707
February,SPI-48,0.959,2,48,0.9709724237663669,0.6151453295587297,0.01197242376636698,0.34385467044127027
March,SPI-48,0.939,3,48,0.9791272973109513,0.8305175790111635,0.040127297310951326,0.10848242098883643
April,SPI-48,0.958,4,48,0.9905162055029147,0.8846213498903074,0.032516205502914786,0.07337865010969258
May,SPI-48,0.95,5,48,0.9850283149587923,0.8545214659680872,0.03502831495879233,0.09547853403191275
June,SPI-48,0.942,6,48,0.985943513557773,0.8700151624876675,0.04394351355777304,0.07198483751233242
July,SPI-48,0.953,7,48,0.9878354787051621,0.8774304606594083,0.034835478705162126,0.07556953934059163
August,SPI-48,0.924,8,48,0.9829211670799409,0.8456623245137028,0.058921167079940884,0.07833767548629722
September,SPI-48,0.95,9,48,0.9921534543253386,0.9492507402002436,0.04215345432533868,0.0007492597997563744
October,SPI-48,0.956,10,48,0.9930641265733672,0.9784423686242116,0.03706412657336722,0.022442368624211673
November,SPI-48,0.948,11,48,0.9960045811547585,0.9774228690297376,0.048004581154758585,0.029422869029737675
December,SPI-48,0.889,12,48,0.9963532960599143,0.9900340451291001,0.10735329605991428,0.10103404512910008
