target_time,month,r,r2,kappa,mae,rmse,scale,input_years,protocol
2015-08-01,8,0.977034893293448,0.9543125789826942,0.8412101850981866,0.0675646961053307,0.08732912956166776,9,15,paper_like
2015-09-01,9,0.7420692871949424,0.2629305436351931,0.4766001376462492,0.22030054338380428,0.33348768048845306,9,15,paper_like
2015-10-01,10,0.36506082121366407,-3.2289200100656004,-0.08302575542486301,0.9278380578958387,1.0201184186959038,9,15,paper_like
2015-11-01,11,0.712665937018216,-0.8363329733516502,0.026006191950464386,0.8095523010901858,0.9336989586920378,9,15,paper_like
2015-12-01,12,0.4012792105871461,-20.115273050299194,-0.003984205471167845,2.2910361977605826,2.350103449367791,9,15,paper_like
2015-01-01,1,0.9820919511453293,0.9640202699097334,0.9138341264445955,0.04234302389031342,0.05319269309591805,12,15,paper_like
2015-02-01,2,0.9865105615898506,0.9731877601827466,0.9098426246999199,0.042272497094806974,0.05454556296004456,12,15,paper_like
2015-03-01,3,0.9916130523469235,0.9822654318893003,0.9072084085026276,0.040900244238904836,0.05290982093479029,12,15,paper_like
2015-04-01,4,0.9859816096850077,0.9625724811188417,0.8732726298875201,0.0527655468003197,0.06659357141013199,12,15,paper_like
2015-05-01,5,0.9938921148770599,0.9835339270782542,0.9347238315952106,0.04203342420108199,0.05392595087852558,12,15,paper_like
2015-06-01,6,0.9952277272501256,0.989650756851675,0.9491423412578995,0.037719361210695565,0.045600478610035064,12,15,paper_like
2015-07-01,7,0.9937329709576398,0.98549878659864,0.9550292708887707,0.03962554514169025,0.05031177565059457,12,15,paper_like
2015-08-01,8,0.990748507787509,0.9800467948193586,0.914696727517456,0.046388367060570736,0.060322106835624396,12,15,paper_like
2015-09-01,9,0.9804897657549826,0.9590920927638813,0.8438410690169877,0.07075593674704664,0.0987169147425211,12,15,paper_like
2015-10-01,10,0.8757280243780623,0.7168797315237482,0.5973999455485979,0.24387725119855558,0.30534712052927215,12,15,paper_like
2015-11-01,11,0.7313951582218171,-1.7219611796092087,-0.06257485029940124,0.8498946226582572,0.9301610034069134,12,15,paper_like
2015-12-01,12,0.5256967749896475,-6.043146179486578,-0.0364382143283819,1.2874877246914889,1.3608561250705682,12,15,paper_like
2015-01-01,1,0.9731983934414886,0.9466113500192551,,0.027801141508140424,0.03530462133312353,18,15,paper_like
2015-02-01,2,0.9768912545185242,0.9537928062692261,,0.02802430464075298,0.03748044224969185,18,15,paper_like
2015-03-01,3,0.9805256530089641,0.9563312259840854,,0.0284327986989798,0.03690604426439557,18,15,paper_like
2015-04-01,4,0.9689137970457263,0.9382028334972542,,0.03545887341052548,0.04487792206879658,18,15,paper_like
2015-05-01,5,0.9696472797913814,0.9395276358072813,0.0,0.04078705006067043,0.05298993256963978,18,15,paper_like
2015-06-01,6,0.9864282425994869,0.9714756934341552,0.8433371958285052,0.0426821689441649,0.055851214675009926,18,15,paper_like
2015-07-01,7,0.9901467268626973,0.9800213680911666,1.0,0.03765619587102651,0.04888461468188456,18,15,paper_like
2015-08-01,8,0.9931038931892874,0.9860936556681198,0.9671589584143023,0.03634490774128289,0.04605095928186619,18,15,paper_like
2015-09-01,9,0.9162329439190536,0.8058071757335274,0.6475622033654538,0.13878242448055936,0.20564928145866154,18,15,paper_like
2015-10-01,10,0.8925154297498089,0.7259064524681578,0.5648691174367044,0.18877883588730096,0.2537956863012091,18,15,paper_like
2015-11-01,11,0.7138087732709504,0.31176214624776155,0.11687126741871268,0.387557657745327,0.4654462857626411,18,15,paper_like
2015-12-01,12,0.6083902807379383,-0.12642056957582382,0.08589826142949142,0.5132479401029925,0.6322384867174563,18,15,paper_like
2015-01-01,1,0.9947377855796374,0.9890222860062234,,0.012205696796369363,0.015465471952566198,24,15,paper_like
2015-02-01,2,0.9953423507763196,0.9906634967464759,0.49401197604790426,0.013091866110006515,0.016186661840077162,24,15,paper_like
2015-03-01,3,0.9953114429259089,0.9899533287568382,0.718801996672213,0.012884956362065542,0.016127798584978564,24,15,paper_like
2015-04-01,4,0.9959566283994047,0.9917144136249002,-0.005952380952380931,0.011980071717624063,0.014815456954473694,24,15,paper_like
2015-05-01,5,0.9972579812815148,0.9944610989240146,0.8541846419327006,0.010816922892283028,0.013826072467521334,24,15,paper_like
2015-06-01,6,0.9978249374091749,0.995328526633766,0.8271983640081799,0.010202306043753894,0.013255108946599542,24,15,paper_like
2015-07-01,7,0.9979799070279887,0.9958277807115964,0.8511013215859031,0.009965639728036777,0.012635450412308158,24,15,paper_like
2015-08-01,8,0.9975715144167452,0.994605219075884,0.6576637407157326,0.011388024516970918,0.014603737831809994,24,15,paper_like
2015-09-01,9,0.9945711304917912,0.9862170867271074,0.7907552620718118,0.018644109032234527,0.024208403232482443,24,15,paper_like
2015-10-01,10,0.9315535310316725,0.6106498100382505,0.0,0.11035701473493748,0.1359149469283745,24,15,paper_like
