scale,model,protocol,month,horizon_months,r,r2,kappa,mae,rmse,selected_by_validation,validation_rmse
3,mlp_11,causal,11,11,0.02647241093560552,-0.08128196955998845,-0.0009307047973601268,0.49244110597435203,0.6482709300424339,True,1.6000716420114227
3,mlp_11,causal,12,12,0.4176657451700133,-8.611766988434821,-0.020516551473263034,1.6476124468702709,1.7241200190143822,True,1.6000716420114227
3,extra_trees,causal,1,1,0.5524959525488253,-8.63083614255877,-0.0009813198752322005,2.2292613046685625,2.322527932896422,False,1.676587605195506
3,extra_trees,causal,2,2,-0.004169052376509796,-12.773287856040271,0.014595558196538683,1.4672317072533518,1.531620422801544,False,1.676587605195506
3,extra_trees,causal,3,3,-0.08053222195289989,-1.5199028606715794,0.046581439884064046,0.44883624380042186,0.5608831179930013,False,1.676587605195506
3,extra_trees,causal,4,4,-0.29756437425215965,-7.423352483626363,-0.0031851744606921084,1.023520664119126,1.1555571962442714,False,1.676587605195506
3,extra_trees,causal,5,5,-0.49213448841480417,-3.1831571427099146,0.08467867930423922,0.8850682932137122,1.0776530644772366,False,1.676587605195506
3,extra_trees,causal,6,6,-0.12611410746576912,-2.0221014587673074,0.04320619785458879,0.6655654551571965,0.8198916833276264,False,1.676587605195506
3,extra_trees,causal,7,7,-0.22123372611095826,-2.8069034573041676,0.0779485719707752,1.01208242388359,1.1997133890381975,False,1.676587605195506
3,extra_trees,causal,8,8,0.07883364456842035,-0.7060542744958638,-0.04126054239684862,0.7901853603275053,1.013328808154331,False,1.676587605195506
3,extra_trees,causal,9,9,-0.029963207897381237,-0.3730986116766921,-0.05413675414852315,0.40444448152206897,0.47614242020581926,False,1.676587605195506
3,extra_trees,causal,10,10,0.16772167831123908,-0.5702792136838419,0.09796204442527501,0.5283195214281066,0.7054667602126063,False,1.676587605195506
3,extra_trees,causal,11,11,0.5280388306950549,-1.4676327534998164,-0.00918064752000669,0.8706661020239373,0.9793261016131191,False,1.676587605195506
3,extra_trees,causal,12,12,0.6278792634731043,-16.75607438140909,-0.001788846018940804,2.3013258084556885,2.343361850382638,False,1.676587605195506
6,persistence_last,causal,1,1,0.8377644806143677,-6.301942557546645,-0.049689440993788914,1.5204223372463992,1.553150666640566,,
6,persistence_last,causal,2,2,0.860995680752888,-0.3919122301000255,0.07344811961939302,0.6498180921031391,0.7200001525119322,,
6,persistence_last,causal,3,3,0.910645902240997,0.6605444320158065,0.303852677489702,0.34823448938794416,0.42570960921026124,,
6,persistence_last,causal,4,4,0.8591505744718358,0.6816954064888303,0.3210158226278458,0.3383887830137078,0.41846419865696205,,
6,persistence_last,causal,5,5,0.77665406777792,0.543174493409158,0.41749246014648855,0.28353396513259194,0.369574864123239,,
6,persistence_last,causal,6,6,0.6761487053191058,-4.4751639691196905,-0.12895244692958574,0.9316187408927293,1.0119333884313666,,
6,persistence_last,causal,7,7,0.5768215340633804,-14.54205328221445,-0.003215434083601254,2.1844169342855593,2.2421442657880903,,
6,persistence_last,causal,8,8,0.47735733818150294,-9.458370694615311,-0.014903511662821778,1.656680235392842,1.7441318696353885,,
6,persistence_last,causal,9,9,0.6079879744346571,-8.781327642445348,-0.01613139756562565,1.6657380723995818,1.7328059814468624,,
6,persistence_last,causal,10,10,0.6861901069544427,-2.0912798466335465,-0.06948577176145165,1.1152162115263324,1.2003856788706468,,
6,persistence_last,causal,11,11,0.5064906213022604,-0.004783068472097085,0.14236111111111116,0.4861483909405546,0.6224015986274135,,
6,persistence_last,causal,12,12,0.38404885823444784,-0.48733033456840347,0.09192093648052202,0.6534485613625997,0.802549166096752,,
6,seasonal_persistence,causal,1,1,0.005531466962918436,-3.5956907491907364,0.07252358490566035,0.9494155143535349,1.2321675855524092,,
6,seasonal_persistence,causal,2,2,0.051421042143908684,-1.3883885971747922,-0.016994030425572904,0.7842997174604016,0.9431465002938776,,
6,seasonal_persistence,causal,3,3,-0.3881807336191648,-7.429191560994489,-0.0236594983535916,1.898862779782737,2.1213627899728373,,
6,seasonal_persistence,causal,4,4,-0.1951938744241362,-5.86266060992833,-0.0021563342318058343,1.7541443812376534,1.9430461507993042,,
6,seasonal_persistence,causal,5,5,-0.3191895849904788,-10.013210087298205,-0.023010113922622866,1.5744010676592306,1.814613826165573,,
6,seasonal_persistence,causal,6,6,0.17331129737236758,-54.50260318234727,0.0,3.1368529315817675,3.2218850158943058,,
6,seasonal_persistence,causal,7,7,0.4804457360342029,-22.93755140211579,-0.0010865755345250694,2.732414155751605,2.7825899873522832,,
6,seasonal_persistence,causal,8,8,0.5875032438570196,-5.008350914353868,-0.07000358380121852,1.2429964989008127,1.3219801889719438,,
6,seasonal_persistence,causal,9,9,0.40470554072527537,-1.1698208942692787,0.07774848243301236,0.6518588089132231,0.8161368333310081,,
6,seasonal_persistence,causal,10,10,-0.044047377615227486,-2.030868659512557,-0.009320423491086638,1.0377977039050548,1.1885985678960684,,
6,seasonal_persistence,causal,11,11,0.43525593466268014,-1.23836577827119,-0.10416776437114694,0.8343535739542346,0.928966545204024,,
6,seasonal_persistence,causal,12,12,0.38404885823444784,-0.48733033456840347,0.09192093648052202,0.6534485613625997,0.802549166096752,,
6,ridge,causal,1,1,0.891812990526217,-8.951245070340628,-0.02586114004525708,1.7896886340049443,1.8131473194035248,True,1.80371229695222
6,ridge,causal,2,2,0.8126506503681158,-1.3762052418709199,0.003060409828794297,0.8549125101602452,0.9407378930537482,True,1.80371229695222
6,ridge,causal,3,3,0.6556780736483716,-0.31388362673658343,0.06020101015254309,0.6934174768800057,0.83753012149704,True,1.80371229695222
6,ridge,causal,4,4,0.7307174439320384,-0.7513697809913142,-0.03356328587504276,0.84264463845764,0.9815801813412166,True,1.80371229695222
6,ridge,causal,5,5,0.42464053593197293,-1.6172940915203768,-0.026697135213465728,0.7581878958074957,0.8846134047231679,True,1.80371229695222
6,ridge,causal,6,6,-0.5375969162666072,-0.9100923371100409,-0.29764654472813556,0.4625498113573018,0.5976962647633264,True,1.80371229695222
6,ridge,causal,7,7,-0.5459652486185199,-5.852573872140739,0.06492773261065943,1.3444125044322661,1.4887995166644712,True,1.80371229695222
6,ridge,causal,8,8,-0.5896415083942939,-2.6489687697701076,0.05728214503351636,0.8300948962751615,1.0302256900460307,True,1.80371229695222
6,ridge,causal,9,9,-0.3758441048534625,-3.165558808957834,0.012790164935858384,0.9733176389615323,1.1308048700708213,True,1.80371229695222
6,ridge,causal,10,10,-0.24573697793364566,-0.11938817781806121,-0.009841827768014122,0.5844619936221361,0.7223405609986989,True,1.80371229695222
6,ridge,causal,11,11,-0.04704442984363712,-1.1911664833626614,-0.026626547064834805,0.7725505697554292,0.9191200360729779,True,1.80371229695222
6,ridge,causal,12,12,0.6273418657038373,-8.57417693028674,0.0,1.9526851498698623,2.0361916609511637,True,1.80371229695222
6,mlp_11,causal,1,1,0.7925500565550141,-7.76927331967226,-0.03978926426703011,1.6573294929261773,1.702065169360351,False,1.8130619630083433
6,mlp_11,causal,2,2,0.7469794264330613,0.020824969423033135,0.2061668681983071,0.4978486590494548,0.6038885957077046,False,1.8130619630083433
6,mlp_11,causal,3,3,0.8115897549754869,0.6290066746954166,0.4182032539495403,0.3584067378625937,0.44504613422036104,False,1.8130619630083433
6,mlp_11,causal,4,4,0.7860680137381347,0.5470130680500133,0.38309317963496636,0.3885735383274046,0.4992058797361998,False,1.8130619630083433
6,mlp_11,causal,5,5,0.6307385231102942,-0.2850976033447481,0.19378863846565741,0.5137976653996932,0.619862424310771,False,1.8130619630083433
6,mlp_11,causal,6,6,0.39404560904954816,-1.3462891871820792,0.19295170162606534,0.5052825993273613,0.6624363113388111,False,1.8130619630083433
6,mlp_11,causal,7,7,0.4748617012295856,-7.055858945210282,-0.09400898857873252,1.5208393142824208,1.61422951115716,False,1.8130619630083433
6,mlp_11,causal,8,8,0.5238471246422657,-3.6470398029325075,-0.07445898031544207,1.0723991279698761,1.162613866136182,False,1.8130619630083433
6,mlp_11,causal,9,9,0.1753033735324313,-3.7666050575252505,-0.01847860791826328,1.0709328904429596,1.20963855259215,False,1.8130619630083433
6,mlp_11,causal,10,10,0.3787769536499985,-0.0011792852761953743,0.048589855706165364,0.5678205898586665,0.6831366282502749,False,1.8130619630083433
6,mlp_11,causal,11,11,0.09765383271954302,-0.5516469173988923,0.022016762006119572,0.6343777902455557,0.7734477792702905,False,1.8130619630083433
6,mlp_11,causal,12,12,-0.15929385148003405,-4.821731853970322,0.04287452280068804,1.4254936874305157,1.5877935342950493,False,1.8130619630083433
6,extra_trees,causal,1,1,0.6892100465646622,-14.491125442418394,-0.0011216656735253405,2.220147326186208,2.262225360575967,False,2.0458434622497883
6,extra_trees,causal,2,2,0.19691026977113757,-6.245486221965689,0.06299398372065579,1.526906752379705,1.6427082206154515,False,2.0458434622497883
6,extra_trees,causal,3,3,0.3925708086941938,-2.5643608103477162,-0.061984354294019495,1.2387200124643871,1.379471762383515,False,2.0458434622497883
6,extra_trees,causal,4,4,0.5241754664137966,-1.9491137208651246,-0.07864480874316926,1.1332441427230793,1.273745360277561,False,2.0458434622497883
6,extra_trees,causal,5,5,0.1385373285478563,-3.5691312002983873,-0.024947309561701658,1.054732601965206,1.1688104020918006,False,2.0458434622497883
6,extra_trees,causal,6,6,0.01999590601424311,-0.5487679678657003,0.006708620280218458,0.4594459331436839,0.53820352705948,False,2.0458434622497883
6,extra_trees,causal,7,7,-0.44942501197511325,-5.222604231025162,0.062347188264058606,1.1870771295348603,1.4187159328385024,False,2.0458434622497883
6,extra_trees,causal,8,8,-0.006475488179941694,-1.7300825707903207,-0.03805970149253746,0.7200044673926707,0.8911179531319005,False,2.0458434622497883
6,extra_trees,causal,9,9,-0.10628381341130563,-1.7394906726750778,-0.0193968066232999,0.7487800371722276,0.9170350774814551,False,2.0458434622497883
6,extra_trees,causal,10,10,0.07999847940635328,-0.016756523312400295,0.08210862619808312,0.5487160208578978,0.6884305395972038,False,2.0458434622497883
6,extra_trees,causal,11,11,0.3230720650730198,-2.6137779105648717,-0.012190977826862737,1.0366675670414285,1.1803621501192807,False,2.0458434622497883
6,extra_trees,causal,12,12,0.5376897114836822,-8.882650116652504,-0.0099235811814129,1.991601993869115,2.0687339418223334,False,2.0458434622497883
9,persistence_last,causal,1,1,0.8611848851980601,-5.671993308296431,-0.059580782786125,1.5124793532725294,1.5444102904968255,,
9,persistence_last,causal,2,2,0.8149483078982164,-0.30961577494859127,0.055993513221316404,0.6145835194211517,0.7142895649715715,,
9,persistence_last,causal,3,3,0.8492777614668049,0.5286286011692038,0.2771943163997529,0.41592107057805067,0.5136472440640516,,
9,persistence_last,causal,4,4,0.8294131136636465,-0.08604143738165715,0.017977120029053828,0.5986776107283133,0.6869261133202583,,
9,persistence_last,causal,5,5,0.8563701161644734,0.5668676557419725,0.3164892380642462,0.4004931183421603,0.4982337472900989,,
