target_time,month,r,r2,kappa,mae,rmse,scale,input_years,ordering
2015-08-01,8,0.9177982431373478,0.8381543500956797,0.6293120638085743,0.11565993860017047,0.1643657497578214,9,15,point_major
2015-09-01,9,0.8761214679475781,0.7573829292432038,0.6398010735712031,0.12725715799067686,0.19133140700305337,9,15,point_major
2015-10-01,10,0.8927517604829343,0.7583462748343627,0.7141821696061851,0.14946063312728647,0.24385552562195145,9,15,point_major
2015-11-01,11,0.9604802244650674,0.913008163842788,0.8644203770557561,0.12854536569358388,0.20322185302648338,9,15,point_major
2015-12-01,12,0.8501731224843238,0.6420387253492461,0.47459160024871405,0.19354493472987316,0.30598959017462063,9,15,point_major
2015-01-01,1,0.899755116009227,0.7984537576553539,0.7487098749234671,0.08840426092061925,0.12589555044869916,12,15,point_major
2015-02-01,2,0.9381055595046525,0.8703467580585907,0.5802614379084967,0.07791127542547899,0.11994566902021181,12,15,point_major
2015-03-01,3,0.9571738698922251,0.9157873625740209,0.8512562009921587,0.08311281493856337,0.11529610022917607,12,15,point_major
2015-04-01,4,0.9442389323612516,0.8709568436811775,0.735287536361602,0.08277409031111375,0.1236528914530289,12,15,point_major
2015-05-01,5,0.9530423148385869,0.9011309333100814,0.7886971742935733,0.0842512507379038,0.1321396073031769,12,15,point_major
2015-06-01,6,0.957304184588922,0.9116268235321999,0.839047619047619,0.08152250642065283,0.13325249161248337,12,15,point_major
2015-07-01,7,0.9482341171510019,0.892122016409207,0.7923047835129514,0.08710354675474603,0.13722520346092928,12,15,point_major
2015-08-01,8,0.9516105543172053,0.8985369376670764,0.7890325456977263,0.08974027886756929,0.13602669623949784,12,15,point_major
2015-09-01,9,0.9679473584967931,0.9336187149068603,0.822983689959599,0.07684092955928702,0.12575080395942748,12,15,point_major
2015-10-01,10,0.9554360578321262,0.8990742419419908,0.8267495899398578,0.11212235660138743,0.18230952444364695,12,15,point_major
2015-11-01,11,0.8056993186046505,0.6068222238665206,0.695645055664702,0.18425288336703008,0.35351809264712214,12,15,point_major
2015-12-01,12,0.825155537634429,0.6230561220938682,0.6537863803334276,0.1800971344637713,0.31482354749577834,12,15,point_major
2015-01-01,1,0.9582071935191329,0.9074615533860836,,0.03621423130154145,0.04648022167747031,18,15,point_major
2015-02-01,2,0.9388122221304391,0.8702553410465608,,0.0419836360586288,0.0628050628112479,18,15,point_major
2015-03-01,3,0.9584033129703843,0.9043270671465395,,0.04080586287723274,0.05462689832606972,18,15,point_major
2015-04-01,4,0.9415711595745744,0.8833964226539712,,0.04329163011000783,0.06164592820239259,18,15,point_major
2015-05-01,5,0.8919867311456996,0.7842310750874409,0.0,0.06566708346376357,0.10009429885908198,18,15,point_major
2015-06-01,6,0.8549289806571073,0.7219227073052772,0.6072811773818745,0.10576005486491778,0.17438448309621477,18,15,point_major
2015-07-01,7,0.9276673515891789,0.8597333658001981,0.8417232498243972,0.07383631346872802,0.12952885055241098,18,15,point_major
2015-08-01,8,0.935199294833393,0.8685314938087827,0.9110151642796966,0.07636415242477054,0.14159341494605862,18,15,point_major
2015-09-01,9,0.9441926508668731,0.877465206695898,0.8272992700729926,0.08818184902775764,0.16335796652242468,18,15,point_major
2015-10-01,10,0.9280910218891865,0.8308811891989287,0.8045188155459593,0.1053380084431188,0.19935667810356594,18,15,point_major
2015-11-01,11,0.8976535980167264,0.7810948131060315,0.7503525146041764,0.1321623126894265,0.2624994013554866,18,15,point_major
2015-12-01,12,0.8952913117658894,0.7585337857210857,0.71961066253733,0.14695076159735992,0.29272433617766896,18,15,point_major
2015-01-01,1,0.9732818436375071,0.9472134185147741,,0.02515653066189491,0.03391321713924259,24,15,point_major
2015-02-01,2,0.9783353087018402,0.9568890885950947,0.6640159045725647,0.02385253207349603,0.03478233788084296,24,15,point_major
2015-03-01,3,0.9806839106845867,0.9604797650396927,0.8858879135719109,0.021567413218003945,0.031987017979979424,24,15,point_major
2015-04-01,4,0.9823103135987818,0.963713939297055,0.0,0.019891487737872544,0.03100440047054644,24,15,point_major
2015-05-01,5,0.9837963800051364,0.9673772301274207,0.7443267776096822,0.021912576587699722,0.033554242641165535,24,15,point_major
2015-06-01,6,0.9851649834237662,0.9690026345501557,0.906058921623124,0.02061238067120993,0.03414434255520605,24,15,point_major
2015-07-01,7,0.9858538709520304,0.97058359523871,0.906058921623124,0.020927875744699988,0.033550728976598304,24,15,point_major
2015-08-01,8,0.989982441882685,0.9793770663617549,0.7439393939393939,0.0208774587938539,0.028553039319732812,24,15,point_major
2015-09-01,9,0.9874067433797616,0.9733093440005152,0.6908159531650202,0.024796756313426146,0.033688002211647056,24,15,point_major
2015-10-01,10,0.9796010084067415,0.958133053595,0.4955223880597015,0.033913510104861946,0.04456897719460223,24,15,point_major
2015-11-01,11,0.9400269264710708,0.8703628429554632,0.6884792626728111,0.05572822201087026,0.0891867036248395,24,15,point_major
2015-12-01,12,0.9405930678093917,0.864219653962006,0.6925917759894169,0.08183034555948059,0.15804952487338034,24,15,point_major
2015-01-01,1,0.9812904109161115,0.9570739949680726,,0.009669946981278526,0.013955206484837336,48,15,point_major
2015-02-01,2,0.9709724237663669,0.9264082802113398,0.0,0.012465142995356629,0.020762619805496076,48,15,point_major
2015-03-01,3,0.9791272973109513,0.9470351539892398,0.9307282415630551,0.01140585366471956,0.018878635059311373,48,15,point_major
2015-04-01,4,0.9905162055029147,0.9797390288008742,0.9845223921604542,0.008134979502485437,0.01201159541000294,48,15,point_major
2015-05-01,5,0.9850283149587923,0.9648098260279099,0.9821711150965292,0.009773129158518901,0.016748916205791078,48,15,point_major
2015-06-01,6,0.985943513557773,0.9675744433850166,0.9653972153972153,0.009308667427397334,0.016167162922490288,48,15,point_major
2015-07-01,7,0.9878354787051621,0.973417373775479,0.9321012454801125,0.008304633995033993,0.014683482968241065,48,15,point_major
2015-08-01,8,0.9829211670799409,0.9604136832600199,0.9834815756035579,0.010151180431271846,0.018235769385201554,48,15,point_major
2015-09-01,9,0.9921534543253386,0.9819506626991098,0.9384335154826958,0.009255620388328101,0.012555577486798353,48,15,point_major
2015-10-01,10,0.9930641265733672,0.9856811991240304,0.9444535743631882,0.0076235103267470825,0.011578926117639018,48,15,point_major
2015-11-01,11,0.9960045811547585,0.9918370245705093,0.9639940345145941,0.008172125684304008,0.012288955412123442,48,15,point_major
2015-12-01,12,0.9963532960599143,0.9910115815592924,1.0,0.010839824113386923,0.017379016494985824,48,15,point_major
