scale,input_years,r_all_points,kappa_all_points,r_internal_test
24,7,0.8480330678232336,0.30766310432587574,0.34338132893168455
24,8,0.8338010752162099,0.4398557377421005,0.6240549684777191
24,9,0.8774854558279258,0.33923206871600725,0.517100194821719
24,10,0.8676816888877529,0.5480833367044975,0.568377342819411
24,11,0.8647045713108445,0.5385711913545362,0.46843843381801115
24,12,0.906293896312217,0.6569332476447517,0.4842329668374437
24,13,0.9124073142327797,0.46623526586444347,0.6648899030547248
24,14,0.9435539586124552,0.5668717877769102,0.7703411536373276
24,15,0.9695032937198533,0.6917018270702182,0.8128107765173764
24,16,0.9932678052061851,0.9566378911331864,0.9605213024286349
24,17,0.995720421870867,0.8938876387695291,0.972957076153291
48,1,0.7782843893776744,0.502559902442277,0.6603376726144602
48,2,0.8301697546434516,0.6085101010632508,0.6604570116529812
48,3,0.861854669581667,0.6849690722638059,0.68576410670098
48,4,0.8762467613653412,0.6740178555449556,0.6848210401662995
48,5,0.8710898145184022,0.7520118222658416,0.48449262242943386
48,6,0.8734471438822334,0.7761369539330096,0.4485339554647667
48,7,0.8737722627268399,0.7831366515671264,0.31914914733383426
48,8,0.8957974400758958,0.6670937367044804,0.47453892644802537
48,9,0.9235078002742619,0.8162151868941697,0.5271126627123773
48,10,0.9068984329645832,0.7892282577755741,0.41845359540802357
48,11,0.9235389467805644,0.6926240316101185,0.45371967051592205
48,12,0.9366599646868514,0.7934800738575092,0.46306652600125436
48,13,0.9669381601659689,0.7980998048959557,0.8334911146842446
48,14,0.9830669870722288,0.862020795051555,0.9014723897971945
48,15,0.9898449142979833,0.877442857924379,0.8872390568533656
48,16,0.987883835016251,0.9725795757841936,0.876283301057264
48,17,0.989380376172501,0.8025558519528248,0.8786879653629572
