target_time,month,r,r2,kappa,mae,rmse,scale,model,protocol,validation_loss,epochs_trained
2015-08-01,8,-0.08827715716641248,-1.1424640820919305,0.09165154264972786,0.6015271446791244,0.7894126419882462,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-09-01,9,-0.052422020059692924,-1.0354364400678913,-0.022391577624135683,0.5910543536906934,0.7904598357727431,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-10-01,10,0.1324280925794557,-0.08038042927010847,0.07760747663551404,0.5684300627174939,0.7096431229334998,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-11-01,11,0.03485268996693079,-1.8915093603600872,-0.12374439990568264,0.9190876661064619,1.0558369260813594,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-12-01,12,-0.007513022916987084,-4.94938430613283,-0.03776067626300894,1.4440842059037793,1.6051068263840707,6,spatial_residual_cnn,causal_pdi_recursive,1.0540330410003662,37
2015-01-01,1,0.7442789208505077,-5.654476484859948,-0.048071630398884624,1.4874112727338555,1.5423815907525023,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-02-01,2,0.6626291580925113,-1.0079423437641224,-0.027795296873592168,0.7544902195156765,0.8844595505021923,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-03-01,3,0.4369223784925561,-0.4361819780307057,0.06624967422465478,0.6823181712622293,0.89657801404601,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-04-01,4,0.29598177405871734,-0.676948957120961,0.08535522634499837,0.6663120366818837,0.8535849520204748,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-05-01,5,0.14556156572500703,-0.21246695611598776,-0.06715046416285753,0.6812628606960178,0.8336001581585064,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-06-01,6,-0.3446594484600364,-1.1844201170392816,-0.1468966492294641,1.0121702650069593,1.1931960176262224,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-07-01,7,-0.2552839585577665,-1.167346320480703,-0.17100674788279524,1.0903331686338011,1.2835987563375741,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-08-01,8,-0.21724132395821383,-3.56421416219869,-0.022556390977443552,0.9829852088922559,1.17406064952864,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-09-01,9,-0.22892002786897184,-7.243474066864744,0.0577521720949683,1.2091937647523245,1.4402450898147825,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-10-01,10,-0.039960734350574414,-10.815804390973394,0.009260296478846963,1.8526325608168486,2.042786903966518,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-11-01,11,-0.32074225407998663,-2.1088221340347277,0.056919642857142905,0.9778825102875717,1.29130386283966,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-12-01,12,-0.14342075822358602,-1.3962159545210402,-0.0030967741935483684,0.7609908146000569,0.9479391703781327,9,spatial_residual_cnn,causal_pdi_recursive,0.6811991333961487,65
2015-01-01,1,0.856017289422546,0.19842434114558472,0.7016242937853108,0.31501287269922273,0.45950442214913995,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-02-01,2,0.7942820153402178,-2.3086304493265595,-0.002892335311424743,1.1433422467292735,1.2268194666771377,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-03-01,3,0.48330879974330415,-3.9166546040490866,-0.019898874571848024,1.5510854682067543,1.7288212067076545,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-04-01,4,0.3844905925890854,-3.1070476198281582,0.016821502660773868,1.1901875536774937,1.4295524421929786,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-05-01,5,0.3956067878568176,-3.12568477886534,-0.033722334004024024,1.3846045486408767,1.6177009504806945,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-06-01,6,0.3489628890870025,-2.794373258332549,-0.027478900843966203,1.36675986940739,1.6336374987869824,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
2015-07-01,7,0.3867185483206267,-1.831253637397774,0.06745658311232794,1.0133459868311234,1.3030364618647756,12,spatial_residual_cnn,causal_pdi_recursive,0.44592049717903137,36
